scenario_header,user query,image,valid/invalid as per policy,policy sections needed to check validity,valid/invalid after image based reasoning,image,gt
Logic board failure within warranty,My VoltEdge unit suddenly stopped turning on. It was installed by your technician and has been working fine for 10 months. I have the invoice and serial number. Can I get a replacement?,"Photo of powered-off unit, serial/barcode label on underside, and receipt/invoice image.",Valid,1. General Limited Warranty; 1. Normal Use Defined; 2. Main Logic Board; 4. Claim Validation Requirements,Valid if images support non-power-on issue and show no tampering or abuse.,Gemini_Generated_Image_k30lolk30lolk30l.png,supported
Display dead pixels above threshold,I’m seeing around 8 to 10 dead pixels on my screen and it’s really noticeable. The device is about 8 months old. Is this covered under warranty?,Close-up photo of screen with visible dead pixels; serial number photo.,Valid,2. LED Display / Touchscreen; 4. Claim Validation Requirements; 1. General Limited Warranty,Valid if image clearly shows more than 5 dead pixels and no impact from external damage.,Gemini_Generated_Image_ll77wkll77wkll77.png,supported
Cosmetic scratches on casing,The outer casing of my unit has scratches and looks faded after a year. I want it replaced under warranty.,Photos of scratched or faded outer housing with no structural crack.,Invalid,3. Cosmetic Damage; 2. External Housing/Casing,Invalid if images show only cosmetic wear; could become valid only if images show structural cracks instead.,Gemini_Generated_Image_uv6buwuv6buwuv6b.png,rejected
Charging cable internal failure,My charging cable stopped working after 4 months. There’s no visible damage on the outside but it doesn’t charge consistently. Can I claim a replacement?,Photos of cable and connector from multiple angles showing intact sheath with no cuts.,Valid,2. Charging Cable / Connector; 4. Claim Validation Requirements,Valid if images show no external sheath cuts; invalid if the sheath is visibly cut or torn.,,
Water damage after submersion,My device stopped working after it fell into water yesterday. It’s still under warranty. Can you replace it?,Photo showing water exposure or corrosion marks on the device.,Invalid,3. Environmental Abuse; 1. General Limited Warranty,"Invalid if images show liquid ingress, corrosion, or submersion damage.",,
Installed by non-authorized electrician,"My electrician installed the unit, not a VoltEdge technician, and now it’s not working after 2 months. Can I claim warranty?",Photos of installed unit and installation paperwork if any.,Invalid,1. Normal Use Defined; 4. Claim Validation Requirements,Invalid unless the user can prove the installer was an authorized third-party partner.,,
Lightning or surge damage without approved protection,There was a power surge during a storm and now my device won’t turn on. I didn’t use a surge protector. Is this covered?,Photo of damaged unit and power setup; no approved surge protector visible or documented.,Invalid,1. Normal Use Defined; 3. Environmental Abuse,Invalid if image or evidence shows missing or non-approved surge protection.,,
User opened device to clean it,I opened the device to clean dust inside and now it’s not working properly. Can I still claim warranty?,Photos showing broken internal seal or replaced screws.,Invalid,3. Unauthorized Tampering,"Invalid if images show broken seal, tool marks, or non-authorized screws.",,
Only 3 dead pixels on display,My screen has 3 dead pixels. It’s annoying. Can I get it replaced?,Close-up screen image showing limited dead pixel count.,Invalid,2. LED Display / Touchscreen,Invalid if image confirms 5 or fewer dead pixels.,,
Missing receipt or invoice,My device stopped working within a year but I lost the receipt. Can you still process my claim?,"Photo of device and serial number, but no receipt or digital invoice.",Invalid,4. Claim Validation Requirements; 1. General Limited Warranty,"Invalid until proof of purchase is provided, even if the damage image looks legitimate.",,
